"(I,J,L)",time_cost,open_num,drone_num,cost1,cost2,obj,95th,
"(6, 3, 3)",0.096 ,1.6,3,480,654.159 ,1134.159 ,1249.844 ,
"(9, 4, 4)",0.308 ,2,4,600,1006.994 ,1606.994 ,1763.112 ,
"(12, 5, 5)",0.619 ,2.6,4.8,780,980.106 ,1760.106 ,1997.872 ,
"(15, 6, 6)",2.011 ,3,6,900,1160.074 ,2060.074 ,2233.366 ,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,"(6, 3, 3)",0.096 ,1.6,3,480,654.159 ,1134.159 ,1249.844 
,"(9, 4, 4)",0.308 ,2,4,600,1006.994 ,1606.994 ,1763.112 
,"(12, 5, 5)",0.619 ,2.6,4.8,780,980.106 ,1760.106 ,1997.872 
,"(15, 6, 6)",2.011 ,3,6,900,1160.074 ,2060.074 ,2233.366 
,"(6, 3, 3)",0.761 ,2,3,600,702.137 ,1302.137 ,1404.915 
,"(9, 4, 4)",8.499 ,3,4,900,1082.818 ,1982.818 ,2142.996 
,"(12, 5, 5)",89.883 ,4,5,1200,992.362 ,2192.362 ,2339.918 
,"(15, 6, 6)",816.887 ,4,6,1200,1273.384 ,2473.384 ,2663.398 
